std,n_points,dimension,setup1,construct1,reduce1,setup2,construct2,reduce2,update,nnz_old_U,nnz_reb_U,nnz_upd_U,nnz_old_R,nnz_reb_R,nnz_upd_R
0.001,40,2,7.582083344459534e-05,0.0014085117727518082,0.010488096624612808,5.717575550079346e-05,0.0014247149229049683,0.010471422225236893,0.004803692921996117,100384,100433,100433,2158,2158,2158
0.001,40,2,7.523037493228912e-05,0.0014091040939092636,0.010475270450115204,5.715899169445038e-05,0.0014237575232982635,0.010542983189225197,0.004790106788277626,100384,100433,100433,2158,2158,2158
0.001,40,2,7.442571222782135e-05,0.0014045648276805878,0.010457271710038185,5.7248398661613464e-05,0.0014213714748620987,0.010432524606585503,0.004792196676135063,100384,100433,100433,2158,2158,2158
0.001,40,2,7.447414100170135e-05,0.0014094598591327667,0.010493002831935883,5.80325722694397e-05,0.001426495611667633,0.010489238426089287,0.0048044100403785706,100384,100433,100433,2158,2158,2158
0.001,40,2,7.467716932296753e-05,0.001414235681295395,0.010504478588700294,5.721487104892731e-05,0.0014195460826158524,0.010468771681189537,0.004810968413949013,100384,100433,100433,2158,2158,2158
0.001,40,2,7.420778274536133e-05,0.0014125071465969086,0.010493170469999313,5.7796016335487366e-05,0.001424696296453476,0.010471975430846214,0.004805678501725197,100384,100433,100433,2158,2158,2158
0.001,40,2,7.490627467632294e-05,0.0014089662581682205,0.01046253927052021,5.714595317840576e-05,0.0014208145439624786,0.010491888970136642,0.004816228523850441,100384,100433,100433,2158,2158,2158
0.001,40,2,7.562711834907532e-05,0.0014065727591514587,0.010475700721144676,5.744956433773041e-05,0.001426858827471733,0.010473599657416344,0.004809590056538582,100384,100433,100433,2158,2158,2158
0.001,40,2,7.523223757743835e-05,0.0014054086059331894,0.01045244000852108,5.6939199566841125e-05,0.0014271829277276993,0.010485373437404633,0.004821464419364929,100384,100433,100433,2158,2158,2158
0.001,40,2,7.432140409946442e-05,0.001402687281370163,0.010473538190126419,5.7149678468704224e-05,0.001424349844455719,0.01046181283891201,0.0048050712794065475,100384,100433,100433,2158,2158,2158
0.001,40,2,7.460080087184906e-05,0.0014086626470088959,0.01046028546988964,5.725584924221039e-05,0.0014233123511075974,0.010476931929588318,0.004800589755177498,100384,100433,100433,2158,2158,2158
0.001,40,2,7.414445281028748e-05,0.0014089345932006836,0.01043965294957161,5.714409053325653e-05,0.0014294106513261795,0.01046927459537983,0.004801357164978981,100384,100433,100433,2158,2158,2158
0.001,40,2,7.50664621591568e-05,0.0014096219092607498,0.010460829362273216,5.752593278884888e-05,0.0014258809387683868,0.010466920211911201,0.004810981452465057,100384,100433,100433,2158,2158,2158
0.001,40,2,7.401034235954285e-05,0.0014045629650354385,0.010469743981957436,5.7220458984375e-05,0.0014240257441997528,0.010479826480150223,0.00481225922703743,100384,100433,100433,2158,2158,2158
0.001,40,2,7.377937436103821e-05,0.0014076922088861465,0.010466182604432106,5.744025111198425e-05,0.0014224518090486526,0.010475467890501022,0.004803726449608803,100384,100433,100433,2158,2158,2158
0.001,40,2,7.54278153181076e-05,0.0014930516481399536,0.010603528469800949,5.747750401496887e-05,0.0014244318008422852,0.010516539216041565,0.004822093993425369,100384,100433,100433,2158,2158,2158
0.001,40,3,6.387569010257721e-05,0.009300559759140015,0.1728171929717064,0.00010696239769458771,0.011110395193099976,0.17830648459494114,0.06334384344518185,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00014746002852916718,0.00990801677107811,0.1558588296175003,0.00010645762085914612,0.010666647925972939,0.15812923572957516,0.05568457022309303,988072,999738,997684,29293,29411,29432
0.001,40,3,0.0001499168574810028,0.0100364089012146,0.15531291253864765,0.00010317191481590271,0.01056651957333088,0.15805275179445744,0.055958399549126625,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00015337206423282623,0.009768567979335785,0.1550252065062523,0.00010322779417037964,0.010603029280900955,0.15788678266108036,0.055802904069423676,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00014121271669864655,0.010029111057519913,0.15552862361073494,0.0001047234982252121,0.010765556246042252,0.15823438949882984,0.05589119903743267,988072,999738,997684,29293,29411,29432
0.001,40,3,0.0001491587609052658,0.009961878880858421,0.15591654740273952,0.0001050122082233429,0.010393176227807999,0.15931247361004353,0.0553856547921896,988072,999738,997684,29293,29411,29432
0.001,40,3,0.0001435559242963791,0.009982408955693245,0.15528464131057262,0.00010712817311286926,0.010626133531332016,0.1595030426979065,0.05574537254869938,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00014092586934566498,0.009963314980268478,0.15603695809841156,0.00010658428072929382,0.010631212964653969,0.1584457866847515,0.05590872839093208,988072,999738,997684,29293,29411,29432
0.001,40,3,0.0001447834074497223,0.01005825586616993,0.15520618483424187,0.00010757707059383392,0.010508885607123375,0.15798529982566833,0.05576394870877266,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00015074945986270905,0.010039430111646652,0.15512133575975895,0.0001039411872625351,0.010688623413443565,0.15823670849204063,0.05593530274927616,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00014639273285865784,0.010389735922217369,0.15509614162147045,0.00010556727647781372,0.010676471516489983,0.1583359781652689,0.05624206177890301,988072,999738,997684,29293,29411,29432
0.001,40,3,0.0001490563154220581,0.00980554148554802,0.15617666207253933,0.00010802224278450012,0.010772110894322395,0.1577604003250599,0.05603343993425369,988072,999738,997684,29293,29411,29432
0.001,40,3,0.0001458916813135147,0.01040799543261528,0.15592525899410248,0.00010422617197036743,0.010591862723231316,0.15870620869100094,0.05574379675090313,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00012558884918689728,0.01105465553700924,0.15509799122810364,0.00010641664266586304,0.010419636964797974,0.159628264605999,0.056031880900263786,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00014688260853290558,0.009975466877222061,0.15619824826717377,0.00010949186980724335,0.010821307078003883,0.15838665515184402,0.055546343326568604,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00015073083341121674,0.010199073702096939,0.15508683770895004,0.00010784901678562164,0.010373080149292946,0.15825403854250908,0.056030672043561935,988072,999738,997684,29293,29411,29432
0.001,40,3,0.0001455247402191162,0.00999627634882927,0.15595251321792603,0.00010650791227817535,0.010682115331292152,0.15821084007620811,0.05597426928579807,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00014205090701580048,0.010068312287330627,0.1555030643939972,0.00010445713996887207,0.010598525404930115,0.15859435871243477,0.055766744539141655,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00015034526586532593,0.009949250146746635,0.15499195083975792,0.00010331720113754272,0.01055172085762024,0.1583189070224762,0.055793795734643936,988072,999738,997684,29293,29411,29432
0.001,40,3,0.00014871731400489807,0.009982455521821976,0.15584364719688892,0.00011167861521244049,0.01058674044907093,0.15810002386569977,0.055549079552292824,988072,999738,997684,29293,29411,29432
0.005,20,2,0.00010983273386955261,0.0001831594854593277,0.0006505362689495087,7.132068276405334e-05,0.00016656331717967987,0.0005817059427499771,0.00038786977529525757,5084,4941,4942,458,454,455
0.005,20,2,6.554089486598969e-05,0.00016455166041851044,0.0005959756672382355,5.5480748414993286e-05,0.00016192719340324402,0.0005740784108638763,0.00037260912358760834,5084,4941,4942,458,454,455
0.005,20,2,6.413273513317108e-05,0.000164080411195755,0.0005870461463928223,5.440227687358856e-05,0.0001649819314479828,0.0005647391080856323,0.00037392042577266693,5084,4941,4942,458,454,455
0.005,20,2,6.83031976222992e-05,0.00016382522881031036,0.0005940422415733337,5.2770599722862244e-05,0.00016015954315662384,0.0005596596747636795,0.0003715064376592636,5084,4941,4942,458,454,455
0.005,20,2,9.085424244403839e-05,0.00016298145055770874,0.0005918610841035843,5.269050598144531e-05,0.00015999190509319305,0.0005697943270206451,0.00035996921360492706,5084,4941,4942,458,454,455
