dataset,standard_basis,standard_no_basis,clearing,compression,update,topologylayer,gudhi,dionysus,ripser
sphere-0.001-50-3,0.40357179939746857,0.23908300884068012,0.22480797581374645,0.19361509382724762,0.17424550279974937,0,0.06833426095545292,0.6562645807862282,0.12345199659466743
sphere-0.001-50-3,0.3995436020195484,0.2411146592348814,0.22517213597893715,0.19415615126490593,0.17368909157812595,0,0.06839322857558727,0.6549562253057957,0.12387566268444061
sphere-0.001-50-3,0.4023531749844551,0.23980938270688057,0.22493771091103554,0.19303002581000328,0.17332892306149006,0,0.06824249774217606,0.6542866565287113,0.12373999878764153
sphere-0.001-50-3,0.39919151552021503,0.23847688920795918,0.22496758960187435,0.19489978440105915,0.17285721190273762,0,0.06841905228793621,0.6538910232484341,0.12382682971656322
sphere-0.001-50-3,0.40287003479897976,0.23763656429946423,0.22451756335794926,0.19338450767099857,0.17352616414427757,0,0.06835419312119484,0.6547696031630039,0.12358852103352547
sphere-0.001-50-3,0.40235063433647156,0.23963532038033009,0.22502268478274345,0.19270881824195385,0.1738610416650772,0,0.06835578754544258,0.6536172032356262,0.12398631311953068
sphere-0.001-100-2,0.47373409382998943,0.25370816700160503,0.2492822390049696,0.22320913150906563,0.19410968385636806,0,0.048507919535040855,0.8305544871836901,0.1284216158092022
sphere-0.001-100-2,0.4732721149921417,0.24977640062570572,0.24944527074694633,0.22289174981415272,0.192420594394207,0,0.048464495688676834,0.8307990301400423,0.1284017115831375
sphere-0.001-100-2,0.4742018114775419,0.24892869777977467,0.249185623601079,0.22331523708999157,0.19073979556560516,0,0.048509785905480385,0.8300156351178885,0.12835845723748207
sphere-0.001-100-2,0.4743442740291357,0.25027803145349026,0.24933268688619137,0.22519766725599766,0.19112838804721832,0,0.0484349150210619,0.8327829148620367,0.12807856313884258
sphere-0.001-100-2,0.4705983158200979,0.2459633480757475,0.24933182634413242,0.22332441061735153,0.19113115966320038,0,0.048194387927651405,0.8304942045360804,0.12833545170724392
sphere-0.001-100-2,0.4714303743094206,0.24946445226669312,0.24836079217493534,0.22294721379876137,0.19098145328462124,0,0.04819059744477272,0.8319976013153791,0.12853304482996464
sphere-0.001-100-2,0.47141036577522755,0.25043129175901413,0.24870684929192066,0.22279554791748524,0.19088955409824848,0,0.04801201820373535,0.8316891193389893,0.1279259007424116
sphere-0.001-100-2,0.4703252874314785,0.25086132623255253,0.24803268536925316,0.22524109110236168,0.19107861258089542,0,0.04812593758106232,0.8391214422881603,0.12863261811435223
sphere-0.001-100-2,0.47087510488927364,0.25058647617697716,0.24900458008050919,0.223871149122715,0.19101371429860592,0,0.04826527088880539,0.8316686395555735,0.12787575274705887
sphere-0.001-100-2,0.4784573409706354,0.2505999933928251,0.2482741679996252,0.22312672436237335,0.19066615588963032,0,0.04816153831779957,0.8341914564371109,0.12815879099071026
sphere-0.001-100-2,0.4728333353996277,0.24872068874537945,0.24686835519969463,0.22302368842065334,0.1905204076319933,0,0.04813867248594761,0.8286985885351896,0.12785028852522373
sphere-0.001-100-2,0.4721324574202299,0.24605435319244862,0.24815800972282887,0.2228579092770815,0.18981336429715157,0,0.04819902032613754,0.8285416048020124,0.1281255055218935
sphere-0.001-100-2,0.48018692061305046,0.250969510525465,0.2492223121225834,0.22352207265794277,0.1912815310060978,0,0.048186417669057846,0.8335344791412354,0.12827089242637157
sphere-0.001-100-2,0.4739727508276701,0.24834595806896687,0.24821687676012516,0.2222744319587946,0.1906846333295107,0,0.048285111784935,0.8304001167416573,0.1281509641557932
